sample_id,A_cov_ref,A_cov_gen,signature_ref,signature_gen
10122,0.151911,0.07476,ALIGNED,MIXED
58674,0.121086,0.076808,ALIGNED,MIXED
43391,0.155571,0.022655,ALIGNED,MIXED
45992,0.218443,0.022816,ALIGNED,MIXED
21281,0.12625,0.057296,ALIGNED,MIXED
55718,0.142464,0.062378,ALIGNED,MIXED
69994,0.129453,0.022533,ALIGNED,MIXED
473,0.104903,0.095764,ALIGNED,MIXED
19388,0.072414,0.018551,MIXED,MIXED
61201,0.229867,0.049622,ALIGNED,MIXED
39683,0.057096,0.089388,MIXED,MIXED
40114,0.129025,0.044359,ALIGNED,MIXED
68089,0.198653,0.006262,ALIGNED,MIXED
7887,0.133447,0.027477,ALIGNED,MIXED
36629,0.134436,0.018286,ALIGNED,MIXED
40411,0.080494,0.026399,MIXED,MIXED
36063,0.163716,0.051626,ALIGNED,MIXED
60316,0.174203,0.037236,ALIGNED,MIXED
13208,0.220241,0.060796,ALIGNED,MIXED
40955,0.222915,0.061543,ALIGNED,MIXED
1607,0.197543,0.042633,ALIGNED,MIXED
12053,0.091399,0.001236,MIXED,MIXED
61852,0.09994,0.016825,MIXED,MIXED
48158,0.133011,0.037681,ALIGNED,MIXED
10490,0.123656,0.036215,ALIGNED,MIXED
14535,0.210457,-0.010212,ALIGNED,MIXED
55064,0.253948,0.026903,ALIGNED,MIXED
53227,0.117424,0.149652,ALIGNED,ALIGNED
35855,0.15026,0.142679,ALIGNED,ALIGNED
72588,0.165707,0.031773,ALIGNED,MIXED
64643,0.044886,0.036718,MIXED,MIXED
39377,0.056359,0.027993,MIXED,MIXED
53557,0.138377,-0.006229,ALIGNED,MIXED
22967,0.285329,-0.0049,ALIGNED,MIXED
34160,0.255229,0.033396,ALIGNED,MIXED
31519,0.0828,0.082505,MIXED,MIXED
24583,0.190432,0.042803,ALIGNED,MIXED
36997,0.232773,0.144913,ALIGNED,ALIGNED
36033,0.158181,0.03156,ALIGNED,MIXED
54304,0.187664,0.036139,ALIGNED,MIXED
9406,0.162105,0.06087,ALIGNED,MIXED
59014,0.203338,0.05816,ALIGNED,MIXED
32431,0.037268,-0.01192,MIXED,MIXED
45631,0.150082,-0.002857,ALIGNED,MIXED
57112,0.172388,0.048051,ALIGNED,MIXED
31655,0.147367,-0.018426,ALIGNED,MIXED
11636,0.060348,0.102217,MIXED,ALIGNED
33611,0.200785,0.057802,ALIGNED,MIXED
46134,0.139784,0.02678,ALIGNED,MIXED
20430,0.167003,0.051917,ALIGNED,MIXED
21900,0.117128,-0.005863,ALIGNED,MIXED
42183,0.077387,0.083722,MIXED,MIXED
11168,0.060949,-0.000126,MIXED,MIXED
33246,0.087579,0.063145,MIXED,MIXED
52374,0.181459,0.041752,ALIGNED,MIXED
52815,0.178133,0.053776,ALIGNED,MIXED
